Section,Text,Start_time_adjusted,Start_time_adjusted_round
1, when       ,0.0,0
1, henry      ,0.15,0
1, left       ,0.42,0
1, the        ,0.76,0
1, gym        ,0.83,0
1, on         ,1.18,1
1, this       ,1.29,1
1, particular ,1.5,1
1, wednesday  ,2.1,2
1, he         ,3.17,3
1, stopped    ,3.3,3
1, to         ,3.65,3
1, watch      ,3.72,3
1, a          ,4.01,4
1, man        ,4.07,4
1, tear       ,4.49,4
1, down       ,4.79,4
1, a          ,5.09,5
1, circus     ,5.13,5
1, poster     ,5.59,5
1, then       ,6.82,6
1, with       ,7.22,7
1, three      ,7.44,7
1, nickels    ,7.69,7
1, and        ,8.17,8
1, one        ,8.4,8
1, dime       ,8.66,8
1, in         ,8.92,8
1, his        ,8.98,8
1, pocket     ,9.14,9
1, he         ,9.92,9
1, went       ,10.08,10
1, to         ,10.27,10
1, the        ,10.38,10
1, corner     ,10.47,10
1, drugstore  ,10.81,10
1, to         ,11.38,11
1, buy        ,11.51,11
1, a          ,11.69,11
1, chocolate  ,11.79,11
1, ice        ,12.34,12
1, cream      ,12.62,12
1, cone       ,12.86,12
1, he         ,13.96,13
1, thought    ,14.13,14
1, he         ,14.43,14
1, would      ,14.55,14
1, eat        ,14.69,14
1, the        ,14.89,14
1, ice        ,15.02,15
1, cream      ,15.3,15
1, cone       ,15.46,15
1, get        ,16.31,16
1, on         ,16.5,16
1, the        ,16.63,16
1, bus        ,16.71,16
1, drop       ,17.6,17
1, his        ,17.87,17
1, dime       ,18.07,18
1, in         ,18.32,18
1, the        ,18.42,18
1, slot       ,18.49,18
1, and        ,19.33,19
1, ride       ,19.45,19
1, home       ,19.64,19
1, that       ,21.42,21
1, is         ,22.01,22
1, not        ,22.24,22
1, what       ,22.87,22
1, happened   ,23.03,23
1, he         ,24.81,24
1, bought     ,25.08,25
1, the        ,25.34,25
1, ice        ,25.48,25
1, cream      ,25.78,25
1, cone       ,25.97,25
1, and        ,26.24,26
1, paid       ,26.37,26
1, for        ,26.62,26
1, it         ,26.85,26
1, with       ,27.02,27
1, one        ,27.18,27
1, of         ,27.37,27
1, his        ,27.46,27
1, nickels    ,27.65,27
1, on         ,28.81,28
1, his        ,29.01,29
1, way        ,29.21,29
1, out        ,29.42,29
1, of         ,29.58,29
1, the        ,29.69,29
1, drugstore  ,29.76,29
1, he         ,30.72,30
1, stopped    ,30.9,30
1, to         ,31.6,31
1, look       ,31.73,31
1, at         ,31.97,31
1, funny      ,32.06,32
1, books      ,32.41,32
1, it         ,33.54,33
1, was        ,33.69,33
1, a          ,33.85,33
1, free       ,33.9,33
1, look       ,34.24,34
1, because    ,34.92,34
1, he         ,35.2,35
1, had        ,35.27,35
1, only       ,35.36,35
1, two        ,35.89,35
1, nickels    ,36.06,36
1, left       ,36.41,36
1, he         ,37.87,37
1, stood      ,38.04,38
1, there      ,38.44,38
1, licking    ,38.82,38
1, his        ,39.31,39
1, chocolate  ,39.56,39
1, ice        ,40.02,40
1, cream      ,40.25,40
1, cone       ,40.49,40
1, and        ,40.84,40
1, reading    ,40.98,40
1, one        ,41.5,41
1, of         ,41.67,41
1, the        ,41.77,41
1, funny      ,41.85,41
1, books      ,42.19,42
1, when       ,43.22,43
1, he         ,43.37,43
1, heard      ,43.53,43
1, a          ,43.86,43
1, thump      ,44.33,44
1, thump      ,44.89,44
1, thump      ,45.49,45
1, henry      ,47.03,47
1, turned     ,47.35,47
1, and        ,48.82,48
1, there      ,49.0,49
1, behind     ,49.31,49
1, him        ,49.79,49
1, was        ,50.54,50
1, a          ,50.73,50
1, dog        ,50.79,50
1, the        ,52.43,52
1, dog        ,52.52,52
1, was        ,52.96,52
1, scratching ,53.22,53
1, himself    ,53.74,53
1, he         ,55.53,55
1, wasn't     ,55.66,55
1, any        ,56.0,56
1, special    ,56.25,56
1, kind       ,56.76,56
1, of         ,57.02,57
1, dog        ,57.13,57
1, he         ,58.14,58
1, was        ,58.24,58
1, too        ,58.41,58
1, small      ,58.6,58
1, to         ,59.08,59
1, be         ,59.19,59
1, a          ,59.33,59
1, big        ,59.37,59
1, dog        ,59.7,59
1, but        ,60.1,60
1, on         ,60.5,60
1, the        ,60.67,60
1, other      ,60.81,60
1, hand       ,61.03,61
1, he         ,61.53,61
1, was        ,61.71,61
1, much       ,61.87,61
1, too        ,62.25,62
1, big        ,62.45,62
1, to         ,63.05,63
1, be         ,63.19,63
1, a          ,63.35,63
1, little     ,63.41,63
1, dog        ,63.75,63
1, he         ,65.09,65
1, wasn't     ,65.23,65
1, a          ,65.62,65
1, white      ,65.68,65
1, dog        ,66.1,66
1, because    ,66.76,66
1, parts      ,67.04,67
1, of         ,67.33,67
1, him        ,67.42,67
1, were       ,67.64,67
1, brown      ,67.79,67
1, and        ,68.57,68
1, other      ,68.69,68
1, parts      ,68.88,68
1, were       ,69.25,69
1, black      ,69.38,69
1, and        ,70.21,70
1, in         ,70.44,70
1, between    ,70.65,70
1, there      ,71.42,71
1, were       ,71.66,71
1, yellowish  ,71.84,71
1, patches    ,72.64,72
1, his        ,74.38,74
1, ears       ,74.72,74
1, stood      ,75.16,75
1, up         ,75.49,75
1, and        ,76.16,76
1, his        ,76.32,76
1, tail       ,76.66,76
1, was        ,77.17,77
1, long       ,77.37,77
1, and        ,77.93,77
1, thin       ,78.11,78
2, the        ,81.63,81
2, dog        ,81.74,81
2, was        ,82.6,82
2, hungry     ,82.82,82
2, when       ,84.56,84
2, henry      ,84.75,84
2, licked     ,85.11,85
2, he         ,86.06,86
2, licked     ,86.32,86
2, when       ,87.46,87
2, henry      ,87.67,87
2, swallowed  ,88.08,88
2, he         ,89.34,89
2, swallowed  ,89.57,89
2, hello      ,91.1,91
2, you        ,91.47,91
2, old        ,91.69,91
2, dog        ,91.9,91
2, henry      ,92.75,92
2, said       ,93.06,93
2, you        ,94.18,94
2, can't      ,94.44,94
2, have       ,94.79,94
2, my         ,95.14,95
2, ice        ,95.33,95
2, cream      ,95.6,95
2, cone       ,95.83,95
2, swish      ,97.23,97
2, swish      ,97.66,97
2, swish      ,98.09,98
2, went       ,98.69,98
2, the        ,98.93,98
2, tail       ,99.0,99
2, just       ,100.61,100
2, one        ,101.42,101
2, bite       ,102.35,102
2, the        ,102.65,102
2, dog's      ,103.92,103
2, brown      ,104.28,104
2, eyes       ,104.56,104
2, seemed     ,104.83,104
2, to         ,105.15,105
2, say        ,105.24,105
2, go         ,106.57,106
2, away       ,106.84,106
2, henry      ,107.94,107
2, ordered    ,108.28,108
2, he         ,109.63,109
2, wasn't     ,109.78,109
2, very       ,110.14,110
2, firm       ,110.38,110
2, about      ,110.79,110
2, it         ,111.07,111
2, he         ,112.09,112
2, patted     ,112.25,112
2, the        ,112.61,112
2, dog's      ,112.69,112
2, head       ,113.04,113
2, the        ,114.39,114
2, tail       ,114.49,114
2, wagged     ,114.91,114
2, harder     ,115.21,115
2, henry      ,116.77,116
2, took       ,117.18,117
2, one        ,117.48,117
2, last       ,117.96,117
2, lick       ,118.58,118
2, oh         ,120.11,120
2, all        ,120.62,120
2, right      ,121.04,121
2, he         ,121.86,121
2, said       ,121.99,121
2, if         ,123.04,123
2, you're     ,123.16,123
2, that       ,123.27,123
2, hungry     ,123.48,123
2, you        ,124.49,124
2, might      ,124.61,124
2, as         ,124.86,124
2, well       ,124.97,124
2, have       ,125.23,125
2, it         ,125.49,125
2, the        ,126.85,126
2, ice        ,126.97,126
2, cream      ,127.23,127
2, cone       ,127.49,127
2, disappeared,127.87,127
2, in         ,128.57,128
2, one        ,128.84,128
2, gulp       ,129.32,129
2, now        ,130.49,130
2, go         ,130.76,130
2, away       ,130.93,130
2, henry      ,131.96,131
2, told       ,132.27,132
2, the        ,132.51,132
2, dog        ,132.58,132
2, i          ,133.42,133
2, have       ,133.61,133
2, to         ,133.75,133
2, catch      ,133.82,133
2, a          ,134.05,134
2, bus        ,134.11,134
2, for        ,134.41,134
2, home       ,134.54,134
2, he         ,135.99,135
2, started    ,136.13,136
2, for        ,136.55,136
2, the        ,136.72,136
2, door       ,136.81,136
2, the        ,138.2,138
2, dog        ,138.31,138
2, started    ,138.82,138
2, too        ,139.38,139
2, go         ,141.3,141
2, away       ,141.4,141
2, you        ,141.84,141
2, skinny     ,142.58,142
2, old        ,143.12,143
2, dog        ,143.38,143
2, henry      ,144.58,144
2, didn't     ,144.87,144
2, say        ,145.1,145
2, it         ,145.37,145
2, very       ,145.46,145
2, loudly     ,145.71,145
2, go         ,146.64,146
2, on         ,147.19,147
2, home       ,147.51,147
2, the        ,149.35,149
2, dog        ,149.44,149
2, sat        ,149.77,149
2, down       ,150.14,150
2, at         ,150.41,150
2, henry's    ,150.49,150
2, feet       ,150.93,150
2, henry      ,152.41,152
2, looked     ,152.81,152
2, at         ,153.07,153
2, the        ,153.16,153
2, dog        ,153.23,153
2, and        ,154.39,154
2, the        ,154.53,154
2, dog        ,154.66,154
2, looked     ,155.3,155
2, at         ,155.61,155
2, henry      ,155.68,155
2, i          ,157.26,157
2, don't      ,157.45,157
2, think      ,157.65,157
2, you've     ,157.88,157
2, got        ,158.08,158
2, a          ,158.38,158
2, home       ,158.47,158
2, you're     ,159.83,159
2, awful      ,160.07,160
2, thin       ,160.45,160
2, your       ,161.65,161
2, ribs       ,161.86,161
2, show       ,162.4,162
2, right      ,162.69,162
2, through    ,162.95,162
2, your       ,163.06,163
2, skin       ,163.25,163
2, thump      ,164.59,164
2, thump      ,164.95,164
2, thump      ,165.33,165
2, replied    ,165.74,165
2, the        ,166.09,166
2, tail       ,166.16,166
2, and        ,167.35,167
2, you        ,167.56,167
2, haven't    ,167.63,167
2, got        ,168.04,168
2, a          ,168.26,168
2, collar     ,168.31,168
2, said       ,169.41,169
2, henry      ,169.7,169
3, he         ,172.4,172
3, began      ,172.65,172
3, to         ,173.73,173
3, think      ,173.9,173
3, if         ,175.99,175
3, only       ,176.42,176
3, he         ,177.23,177
3, could      ,177.48,177
3, keep       ,177.83,177
3, the        ,178.22,178
3, dog        ,178.44,178
3, he         ,179.88,179
3, had        ,180.01,180
3, always     ,180.1,180
3, wanted     ,180.41,180
3, a          ,180.77,180
3, dog        ,180.82,180
3, of         ,181.11,181
3, his        ,181.19,181
3, very       ,181.35,181
3, own        ,181.66,181
3, and        ,182.54,182
3, now        ,182.78,182
3, he         ,183.08,183
3, had        ,183.27,183
3, found      ,183.4,183
3, a          ,183.75,183
3, dog        ,183.79,183
3, that       ,184.2,184
3, wanted     ,184.35,184
3, him        ,184.76,184
3, he         ,186.11,186
3, couldn't   ,186.3,186
3, go         ,186.62,186
3, home       ,186.83,186
3, and        ,187.16,187
3, leave      ,187.38,187
3, a          ,187.63,187
3, hungry     ,187.71,187
3, dog        ,188.18,188
3, on         ,188.52,188
3, the        ,188.65,188
3, street     ,188.71,188
3, corner     ,189.08,189
3, if         ,190.65,190
3, only       ,190.96,190
3, he         ,191.32,191
3, knew       ,191.61,191
3, what       ,191.84,191
3, his        ,191.98,191
3, mother     ,192.19,192
3, and        ,192.48,192
3, father     ,192.59,192
3, would      ,192.96,192
3, say        ,193.12,193
3, he         ,194.52,194
3, fingered   ,194.67,194
3, the        ,195.11,195
3, two        ,195.22,195
3, nickels    ,195.41,195
3, in         ,195.92,195
3, his        ,196.02,196
3, pocket     ,196.25,196
3, that       ,198.06,198
3, was        ,198.34,198
3, it         ,198.52,198
3, he         ,199.34,199
3, would      ,199.53,199
3, use        ,199.7,199
3, one        ,200.15,200
3, of         ,200.35,200
3, the        ,200.41,200
3, nickels    ,200.55,200
3, to         ,200.99,200
3, phone      ,201.08,201
3, his        ,201.41,201
3, mother     ,201.59,201
3, come       ,203.4,203
3, on         ,203.61,203
3, ribsy      ,203.96,203
3, come       ,205.26,205
3, on         ,205.45,205
3, ribs       ,205.67,205
3, old        ,206.15,206
3, boy        ,206.33,206
3, i'm        ,207.54,207
3, going      ,207.76,207
3, to         ,207.92,207
3, call       ,207.97,207
3, you        ,208.17,208
3, ribsy      ,208.41,208
3, because    ,209.27,209
3, you're     ,209.61,209
3, so         ,209.72,209
3, thin       ,209.97,209
3, the        ,211.7,211
3, dog        ,211.8,211
3, trotted    ,212.13,212
3, after      ,212.46,212
3, the        ,212.73,212
3, boy        ,212.81,212
3, to         ,213.06,213
3, the        ,213.21,213
3, telephone  ,213.29,213
3, booth      ,213.87,213
3, in         ,214.28,214
3, the        ,214.38,214
3, corner     ,214.45,214
3, of         ,214.89,214
3, the        ,214.96,214
3, drugstore  ,215.09,215
3, henry      ,216.62,216
3, shoved     ,217.01,217
3, him        ,217.38,217
3, into       ,217.49,217
3, the        ,217.69,217
3, booth      ,217.78,217
3, and        ,218.22,218
3, shut       ,218.3,218
3, the        ,218.53,218
3, door       ,218.61,218
3, he         ,219.92,219
3, had        ,220.1,220
3, never      ,220.25,220
3, used       ,220.53,220
3, a          ,220.98,220
3, pay        ,221.02,221
3, telephone  ,221.32,221
3, before     ,221.93,221
3, he         ,223.2,223
3, had        ,223.4,223
3, to         ,223.56,223
3, put        ,223.63,223
3, the        ,223.8,223
3, big        ,223.89,223
3, thick      ,224.45,224
3, telephone  ,224.82,224
3, book       ,225.4,225
3, on         ,225.62,225
3, the        ,225.78,225
3, floor      ,225.82,225
3, and        ,226.64,226
3, stand      ,226.76,226
3, on         ,227.12,227
3, tiptoe     ,227.33,227
3, on         ,227.75,227
3, it         ,228.01,228
3, to         ,228.28,228
3, reach      ,228.42,228
3, the        ,228.69,228
3, mouthpiece ,228.77,228
3, he         ,230.55,230
3, dropped    ,230.71,230
3, his        ,231.02,231
3, nickel     ,231.19,231
3, into       ,231.55,231
3, the        ,231.8,231
3, coin       ,231.89,231
3, box        ,232.23,232
3, and        ,232.9,232
3, dialed     ,233.08,233
3, the        ,233.44,233
3, number     ,233.58,233
4, hello      ,236.46,236
4, mom        ,237.64,237
4, why        ,239.09,239
4, henry      ,239.41,239
4, his        ,241.06,241
4, mother     ,241.28,241
4, sounded    ,241.67,241
4, surprised  ,242.07,242
4, where      ,243.24,243
4, are        ,243.8,243
4, you        ,244.1,244
4, at         ,245.44,245
4, the        ,245.58,245
4, drugstore  ,245.7,245
4, near       ,246.27,246
4, the        ,246.54,246
4, gym        ,246.64,246
4, ribs       ,248.15,248
4, began      ,248.67,248
4, to         ,249.0,249
4, scratch    ,249.07,249
4, thump      ,250.25,250
4, thump      ,250.66,250
4, thump      ,251.03,251
4, inside     ,252.23,252
4, the        ,252.69,252
4, telephone  ,252.73,252
4, booth      ,253.33,253
4, the        ,253.72,253
4, thumps     ,253.88,253
4, sounded    ,254.33,254
4, loud       ,254.8,254
4, and        ,255.35,255
4, hollow     ,255.54,255
4, for        ,257.02,257
4, goodness   ,257.3,257
4, sake       ,258.04,258
4, henry      ,258.56,258
4, what's     ,259.51,259
4, that       ,259.79,259
4, noise      ,259.97,259
4, his        ,261.19,261
4, mother     ,261.39,261
4, demanded   ,261.62,261
4, ribs       ,262.87,262
4, began      ,263.36,263
4, to         ,263.67,263
4, whimper    ,263.74,263
4, and        ,264.88,264
4, then       ,265.17,265
4, to         ,265.77,265
4, howl       ,265.9,265
4, henry      ,267.31,267
4, mrs        ,268.4,268
4, huggins    ,268.74,268
4, shouted    ,269.09,269
4, are        ,269.81,269
4, you        ,269.92,269
4, all        ,270.14,270
4, right      ,270.32,270
4, yes        ,271.68,271
4, i'm        ,272.41,272
4, all        ,272.64,272
4, right      ,273.02,273
4, henry      ,274.34,274
4, shouted    ,274.68,274
4, back       ,275.06,275
4, he         ,276.0,276
4, never      ,276.22,276
4, could      ,276.78,276
4, understand ,276.93,276
4, why        ,277.64,277
4, his        ,278.06,278
4, mother     ,278.3,278
4, always     ,278.69,278
4, thought    ,279.15,279
4, something  ,279.48,279
4, had        ,279.93,279
4, happened   ,280.1,280
4, to         ,280.47,280
4, him        ,280.55,280
4, when       ,281.33,281
4, nothing    ,281.56,281
4, ever       ,282.07,282
4, did        ,282.36,282
4, that's     ,283.77,283
4, just       ,284.09,284
4, ribsy      ,284.44,284
4, ribsy      ,286.25,286
4, his        ,287.74,287
4, mother     ,287.95,287
4, was        ,288.27,288
4, exasperated,288.47,288
4, henry      ,290.23,290
4, will       ,291.34,291
4, you        ,291.5,291
4, please     ,291.74,291
4, tell       ,292.31,292
4, me         ,292.59,292
4, what       ,293.08,293
4, is         ,293.48,293
4, going      ,293.67,293
4, on         ,294.04,294
5, i'm        ,298.13,298
5, trying     ,298.4,298
5, to         ,299.07,299
5, said       ,300.07,300
5, henry      ,300.36,300
5, ribsy      ,301.54,301
5, howled     ,302.24,302
5, louder     ,302.83,302
5, people     ,304.46,304
5, were       ,304.83,304
5, gathering  ,305.02,305
5, around     ,305.59,305
5, the        ,305.86,305
5, phone      ,305.93,305
5, booth      ,306.27,306
5, to         ,306.56,306
5, see        ,306.74,306
5, what       ,307.02,307
5, was        ,307.19,307
5, going      ,307.33,307
5, on         ,307.66,307
5, mother     ,309.13,309
5, i've       ,310.15,310
5, found      ,310.37,310
5, a          ,310.81,310
5, dog        ,310.87,310
5, i          ,312.18,312
5, sure       ,312.32,312
5, wish       ,312.69,312
5, i          ,313.0,313
5, could      ,313.11,313
5, keep       ,313.36,313
5, him        ,313.64,313
5, he's       ,314.32,314
5, a          ,314.53,314
5, good       ,314.58,314
5, dog        ,314.9,314
5, and        ,315.26,315
5, i'd        ,315.51,315
5, feed       ,315.68,315
5, him        ,316.02,316
5, and        ,316.17,316
5, wash       ,316.35,316
5, him        ,316.73,316
5, and        ,316.86,316
5, everything ,317.06,317
5, please     ,318.5,318
5, mom        ,319.35,319
5, i          ,321.11,321
5, don't      ,321.38,321
5, know       ,321.83,321
5, dear       ,322.24,322
5, his        ,323.21,323
5, mother     ,323.43,323
5, said       ,323.7,323
5, you'll     ,324.63,324
5, have       ,324.96,324
5, to         ,325.31,325
5, ask        ,325.39,325
5, your       ,325.78,325
5, father     ,325.88,325
5, mom        ,327.19,327
5, henry      ,328.58,328
5, wailed     ,328.94,328
5, that's     ,329.89,329
5, what       ,330.13,330
5, you        ,330.3,330
5, always     ,330.55,330
5, say        ,331.24,331
5, henry      ,332.97,332
5, was        ,333.31,333
5, tired      ,333.5,333
5, of         ,333.98,333
5, standing   ,334.06,334
5, on         ,334.51,334
5, tiptoe     ,334.7,334
5, and        ,335.24,335
5, the        ,335.44,335
5, phone      ,335.53,335
5, booth      ,335.88,335
5, was        ,336.16,336
5, getting    ,336.32,336
5, warm       ,336.61,336
5, mom        ,337.78,337
5, please     ,338.71,338
5, say        ,339.23,339
5, yes        ,339.38,339
5, and        ,340.09,340
5, i'll       ,340.19,340
5, never      ,340.3,340
5, ask        ,340.78,340
5, for        ,341.07,341
5, another    ,341.64,341
5, thing      ,342.19,342
5, as         ,342.7,342
5, long       ,342.83,342
5, as         ,343.32,343
5, i          ,343.45,343
5, live       ,343.57,343
5, well       ,345.98,345
5, all        ,347.79,347
5, right      ,348.1,348
5, henry      ,348.51,348
5, i          ,349.9,349
5, guess      ,350.0,350
5, there      ,350.26,350
5, isn't      ,350.41,350
5, any        ,350.8,350
5, reason     ,351.01,351
5, why        ,351.54,351
5, you        ,351.72,351
5, shouldn't  ,351.94,351
5, have       ,352.42,352
5, a          ,352.67,352
5, dog        ,352.72,352
5, but        ,353.9,353
5, you'll     ,354.08,354
5, have       ,354.2,354
5, to         ,354.56,354
5, bring      ,354.67,354
5, him        ,354.95,354
5, home       ,355.13,355
5, on         ,355.44,355
5, the        ,355.59,355
5, bus        ,355.66,355
5, your       ,356.6,356
5, father     ,356.73,356
5, has        ,357.25,357
5, the        ,357.45,357
5, car        ,357.51,357
5, today      ,357.81,357
5, and        ,358.45,358
5, i          ,358.58,358
5, can't      ,358.74,358
5, come       ,359.03,359
5, after      ,359.24,359
5, you        ,359.52,359
5, can        ,360.59,360
5, you        ,360.82,360
5, manage     ,360.92,360
5, sure       ,362.15,362
5, easy       ,363.15,363
5, and        ,364.88,364
5, henry      ,365.08,365
5, please     ,366.16,366
5, don't      ,366.72,366
5, be         ,366.98,366
5, late       ,367.11,367
5, it         ,367.95,367
5, looks      ,368.09,368
5, as         ,368.55,368
5, if         ,368.69,368
5, it         ,368.84,368
5, might      ,368.99,368
5, rain       ,369.22,369
5, all        ,370.53,370
5, right      ,370.76,370
5, mom        ,371.0,371
5, thump      ,371.85,371
5, thump      ,372.15,372
5, thump      ,372.42,372
5, henry      ,373.57,373
5, what's     ,374.64,374
5, that       ,375.17,375
5, thumping   ,375.52,375
5, noise      ,375.99,375
5, it's       ,377.25,377
5, my         ,377.45,377
5, dog        ,377.62,377
5, ribsy      ,377.92,377
5, he's       ,378.99,378
5, scratching ,379.3,379
5, a          ,379.73,379
5, flea       ,379.77,379
5, oh         ,381.28,381
5, henry      ,381.78,381
5, mrs        ,383.01,383
5, huggins    ,383.35,383
5, moaned     ,383.78,383
5, couldn't   ,384.91,384
5, you        ,385.44,385
5, have       ,385.55,385
5, found      ,385.74,385
5, a          ,386.22,386
5, dog        ,386.27,386
5, without    ,386.72,386
5, fleas      ,387.37,387
5, henry      ,389.13,389
5, thought    ,389.49,389
5, that       ,389.74,389
5, was        ,389.88,389
5, a          ,390.01,390
5, good       ,390.05,390
5, time       ,390.33,390
5, to         ,390.63,390
5, hang       ,390.7,390
5, up         ,390.99,390
5, come       ,391.94,391
5, on         ,392.14,392
5, ribs       ,392.37,392
5, he         ,393.11,393
5, said       ,393.29,393
5, we're      ,394.05,394
5, going      ,394.28,394
5, home       ,394.59,394
5, on         ,394.86,394
5, the        ,394.99,394
5, bus        ,395.07,395
6, when       ,398.18,398
6, the        ,398.4,398
6, big        ,398.45,398
6, green      ,398.73,398
6, bus        ,399.08,399
6, stopped    ,399.53,399
6, in         ,399.92,399
6, front      ,400.0,400
6, of         ,400.17,400
6, the        ,400.26,400
6, drugstore  ,400.34,400
6, henry      ,401.41,401
6, picked     ,401.76,401
6, up         ,402.05,402
6, his        ,402.18,402
6, dog        ,402.4,402
6, ribsy      ,403.83,403
6, was        ,404.4,404
6, heavier    ,404.65,404
6, than       ,405.35,405
6, he         ,405.51,405
6, expected   ,405.65,405
6, he         ,407.13,407
6, had        ,407.24,407
6, a          ,407.37,407
6, hard       ,407.4,407
6, time       ,407.69,407
6, getting    ,408.09,408
6, him        ,408.39,408
6, into       ,408.48,408
6, the        ,408.62,408
6, bus        ,408.71,408
6, and        ,409.57,409
6, was        ,409.7,409
6, wondering  ,409.88,409
6, how        ,410.39,410
6, he         ,410.75,410
6, would      ,410.92,410
6, get        ,411.11,411
6, a          ,411.27,411
6, dime       ,411.34,411
6, out        ,411.79,411
6, of         ,411.93,411
6, his        ,412.01,412
6, pocket     ,412.21,412
6, when       ,413.02,413
6, the        ,413.16,413
6, driver     ,413.23,413
6, said       ,413.65,413
6, say        ,414.6,414
6, sonny      ,415.07,415
6, you        ,416.13,416
6, can't      ,416.29,416
6, take       ,416.57,416
6, that       ,416.9,416
6, dog        ,417.17,417
6, on         ,417.48,417
6, the        ,417.62,417
6, bus        ,417.68,417
6, why        ,419.23,419
6, not        ,419.56,419
6, asked      ,420.77,420
6, henry      ,421.08,421
6, it's       ,422.25,422
6, a          ,422.51,422
6, company    ,422.59,422
6, rule       ,423.14,423
6, sonny      ,423.56,423
6, no         ,424.59,424
6, dogs       ,425.0,425
6, on         ,425.6,425
6, buses      ,425.85,425
6, golly      ,427.69,427
6, mister     ,428.16,428
6, how'm      ,429.18,429
6, i          ,429.7,429
6, going      ,429.83,429
6, to         ,429.98,429
6, get        ,430.05,430
6, him        ,430.21,430
6, home       ,430.39,430
6, i          ,431.75,431
6, just       ,431.92,431
6, have       ,432.31,432
6, to         ,432.61,432
6, get        ,432.71,432
6, him        ,432.91,432
6, home       ,433.06,433
6, sorry      ,434.48,434
6, sonny      ,435.03,435
6, i          ,435.9,435
6, didn't     ,436.04,436
6, make       ,436.28,436
6, the        ,436.53,436
6, rule       ,436.63,436
6, no         ,437.72,437
6, animal     ,438.13,438
6, can        ,438.64,438
6, ride       ,438.79,438
6, on         ,439.11,439
6, a          ,439.25,439
6, bus        ,439.31,439
6, unless     ,439.9,439
6, it's       ,440.33,440
6, inside     ,440.54,440
6, a          ,441.23,441
6, box        ,441.3,441
6, well       ,443.12,443
6, thanks     ,444.76,444
6, anyway     ,445.24,445
6, said       ,446.69,446
6, henry      ,446.91,446
6, doubtfully ,447.23,447
6, and        ,448.22,448
6, lifted     ,448.38,448
6, ribsy      ,448.78,448
6, off        ,449.4,449
6, the        ,449.67,449
6, bus        ,449.74,449
6, well       ,451.31,451
6, i          ,452.89,452
6, guess      ,453.05,453
6, we'll      ,453.35,453
6, have       ,453.44,453
6, to         ,453.68,453
6, get        ,453.78,453
6, a          ,453.93,453
6, box        ,453.97,453
6, i'll       ,455.76,455
6, get        ,455.98,455
6, you        ,456.21,456
6, onto       ,456.4,456
